iter,random_start,ad_start,actual_ad,in_db,detected_ad,input_confidence,result
0,184575,184575,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.06,True
1,184575,194575,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.09,True
2,184575,204575,juice_wrld,True,Be Extraordinary Everyday With Myntra,0.04,True
0,426064,426064,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.11,False
1,426064,436064,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan-enc,False,Glasses That Are Perfect For a Corporate Look  Glasses Badlo Vibe Badlo ft. Kiara & Karan,0.06,False
2,426064,446064,Manyavar-enc,False,Introducing iPhone 15  WOW  Apple,0.07,False
0,515902,515902,Furlenco presents the Home Sapiens-enc,False,OnePlus 12 - Smooth Beyond Belief,0.11,False
1,515902,525902,Furlenco presents the Home Sapiens-enc,False,Introducing iPhone 15  WOW  Apple,0.08,False
2,515902,535902,Introducing iPhone 15  WOW  Apple-enc,False,Introducing iPhone 15  WOW  Apple,0.09,False
0,521688,521688,Furlenco presents the Home Sapiens-enc,False,OnePlus 12 - Smooth Beyond Belief,0.12,False
1,521688,531688,Furlenco presents the Home Sapiens-enc,False,Urban Company  Salon at Home,0.05,False
2,521688,541688,Introducing iPhone 15  WOW  Apple-enc,False,OnePlus 12 - Smooth Beyond Belief,0.13,False
0,497971,497971,Furlenco presents the Home Sapiens-enc,False,subway,0.04,False
1,497971,507971,Furlenco presents the Home Sapiens-enc,False,walmart,0.03,False
2,497971,517971,Furlenco presents the Home Sapiens-enc,False,Furlenco presents the Home Sapiens,0.06,False
0,349414,349414,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.06,False
1,349414,359414,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.1,False
2,349414,369414,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation-enc,False,Ad for Cult fit fitness #advertising #ranveersingh #gym #fitness #motivation,0.1,False
0,235390,235390,juice_wrld,True,Urban Company  Salon at Home,0.04,True
1,235390,245390,juice_wrld,True,Introducing iPhone 15  WOW  Apple,0.07,True
2,235390,255390,juice_wrld,True,walmart,0.02,True
0,704701,704701,saajna,True,OnePlus 12 - Smooth Beyond Belief,0.09,True
1,704701,714701,saajna,True,Be Extraordinary Everyday With Myntra,0.04,True
